,author_id,created_at,entities,id,in_reply_to_user_id,text,name,username
4158,1265595321628807169,2022-06-01 17:22:05+00:00,,1532049861536673792,,Pengen nangis gaji di php katanya tanggal 1 ternyaa blum turun :'l mana gua udah pesan sepatu 😭💔,R.A,Kikyyy_ra
4159,487316071,2022-06-01 17:21:59+00:00,"{'mentions': [{'start': 0, 'end': 13, 'username': 'jimmysinback', 'id': '272721247'}], 'urls': [{'start': 159, 'end': 182, 'url': 'https://t.co/0MieozZsZ6', 'expanded_url': 'https://twitter.com/YuanYuanithaa/status/1532049833501921280/photo/1', 'display_url': 'pic.twitter.com/0MieozZsZ6', 'media_key': '3_1532049823678857217'}, {'start': 159, 'end': 182, 'url': 'https://t.co/0MieozZsZ6', 'expanded_url': 'https://twitter.com/YuanYuanithaa/status/1532049833501921280/photo/1', 'display_url': 'pic.twitter.com/0MieozZsZ6', 'media_key': '3_1532049826992402432'}, {'start': 159, 'end': 182, 'url': 'https://t.co/0MieozZsZ6', 'expanded_url': 'https://twitter.com/YuanYuanithaa/status/1532049833501921280/photo/1', 'display_url': 'pic.twitter.com/0MieozZsZ6', 'media_key': '3_1532049831128027136'}]}",1532049833501921280,272721247.0,"@jimmysinback Gw lg nunggui ini neh👇setelah dingin mau dpack,besok tinggal dgoreng...btw adonan roti yg terakhir salfok ehhh bentuknya kok jd kaya sepatu🤦🏻‍♀️ https://t.co/0MieozZsZ6",Penjual Roti dan Kopi keliling kampung,YuanYuanithaa
4160,938612588623011841,2022-06-01 17:21:56+00:00,"{'mentions': [{'start': 3, 'end': 14, 'username': 'NureQgiLer', 'id': '587194921'}, {'start': 16, 'end': 28, 'username': 'nadziraaahh', 'id': '286607729'}]}",1532049821506281472,,RT @NureQgiLer: @nadziraaahh My bekal everyday. Waktu lunch boleh terus duduk kat meja makan sambil menikmati makanan tanpa perlu beratur p…,☘️,aimanraffi_
4161,1491703524719140866,2022-06-01 17:21:51+00:00,"{'mentions': [{'start': 0, 'end': 10, 'username': 'attacchew', 'id': '1361210978008883201'}]}",1532049802577399808,1.3612109780088832e+18,@attacchew top 5 jajanan bandung,rin 🦌,kkyeomshu
4162,1520026776147214337,2022-06-01 17:21:46+00:00,"{'mentions': [{'start': 3, 'end': 14, 'username': 'lilstrojay', 'id': '1501906312929714176'}]}",1532049779961864194,,RT @lilstrojay: Kuna mluhya amefukuzwa mjengo ju ya ku set alarm ya lunch 💀💀,◼️VIvado,pett_ish
4163,1418163388119584771,2022-06-01 17:21:45+00:00,"{'mentions': [{'start': 0, 'end': 8, 'username': 'Zedds30', 'id': '1514640269098250248'}, {'start': 9, 'end': 19, 'username': 'diethingy', 'id': '1277465017009311747'}]}",1532049775956492289,1.5146402690982502e+18,"@Zedds30 @diethingy mjb, kalo ak dlu itu gluten-free trs ngerasa kyk paha jadi mayan kecil. tapi diliat lagi keturunan ato bukan",︎ ︎︎ ︎︎ ︎︎ ︎︎ ︎︎ ︎r🅰️zee forger,kooskyez
4164,1229453567016046593,2022-06-01 17:21:44+00:00,,1532049770373476352,,tiba-tiba pengen makan bakso jam segini tuh maksudnya apaaaa yaaaaa????!,`,aprilboyys
4165,1235196214557073409,2022-06-01 17:21:42+00:00,"{'mentions': [{'start': 3, 'end': 14, 'username': 'skinssyazz', 'id': '1548300361'}]}",1532049765265186816,,"RT @skinssyazz: Rambut ngembang bisa jadi lembut? Bisa dong✅

Btw rambut aku itu termasuk kering, agak kaku, berketombe dan ngembang. 
Aku…",isni,isniwrs
4166,1362113335378911235,2022-06-01 17:21:41+00:00,"{'urls': [{'start': 174, 'end': 197, 'url': 'https://t.co/rSOwFkfW2N', 'expanded_url': 'https://twitter.com/Dangdeurrx/status/1532049761427021825/photo/1', 'display_url': 'pic.twitter.com/rSOwFkfW2N', 'media_key': '3_1532049742795943936'}, {'start': 174, 'end': 197, 'url': 'https://t.co/rSOwFkfW2N', 'expanded_url': 'https://twitter.com/Dangdeurrx/status/1532049761427021825/photo/1', 'display_url': 'pic.twitter.com/rSOwFkfW2N', 'media_key': '3_1532049757954158592'}]}",1532049761427021825,,"/menjadi anak indie
/menikmati senja
/meminum kopi 
/:ahh
/mengganti walpp hp menjadi serba green

/memakai totebag
/estetik Twiter account
/senang karna difolbek Area julid https://t.co/rSOwFkfW2N",dudu🤭💪,Dangdeurrx
4167,1454857255141064709,2022-06-01 17:21:40+00:00,"{'urls': [{'start': 119, 'end': 142, 'url': 'https://t.co/Uh3F8CzR7J', 'expanded_url': 'https://twitter.com/Septiannrs98/status/1531574353628102656', 'display_url': 'twitter.com/Septiannrs98/s…'}]}",1532049756666867713,,"Baru tau siapa Eril. But selalu kepikirin dan berharap yg terbaik buat Eril dan keluarga. May God leads you home, ril. https://t.co/Uh3F8CzR7J",sell ；⃝,minshellby
